Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
BUSINESS ANALYST - CONTACT TRACING UNIT (IT PROGRAMMER ANALY...,State of Maryland,"Baltimore, MD 21201 (Madison Park area)",Not remote,"$53,214 - $69,215 a year","

Incumbent will also be responsible for gathering requirements from end users (Local Health Department contact tracers); prioritizing new features for…
"
Infection Prevention - Contact Tracing clinician (Temporary),Kaiser Permanente,"Seattle, WA 98101 (Downtown area)",Not remote,Pay details not available,"

Provide consultation and leadership to clinical care teams in meeting team and roadmap goals.
Collaborate with area medical staff, team managers and members,…
"
Case Navigator - COVID-19 Contact Tracing Program (Remote -...,AM Trace,Remote,Not remote,Pay details not available,"

Track daily and weekly progress for the unit, including cases contacted successfully, contacts tracked and referred, and patients and contacts referred to…
"
"Assistant Director, Case Investigation, COVID Program - Heal...","City of Baltimore, MD","Baltimore, MD",Temporarily remote,"$83,000 a year","

Oversee programs related to COVID case investigation and contact tracing, including management of a dynamic and fast moving team of contact tracers and case…
"
COVID-19 Investigator-Supervisor,Salud Para La Gente,"Watsonville, CA 95076",Not remote,Pay details not available,"

Assists with triage and coordination of next steps for isolation for cases, and quarantine for individuals with whom the C+ person has been in contact.
"
COORDINATOR CONTACT TRACING HR,Fort Bend Independent School District,"Sugar Land, TX",Not remote,Pay details not available,"

The Coordinator Contact Tracing will support the District's contact tracing process of interviewing those who have tested positive for the virus, determining…
"
Community Health Worker/ Data Coordinator - Health Departmen...,"City of Baltimore, MD","Baltimore, MD",Not remote,"$55,000 a year","

Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community health workers.
"
Case Investigation Nurse,WellSpan Health,"York, PA",Remote,Pay details not available,"

Conduct telephone calls with persons diagnosed with COVID-19 to complete case interviews and elicit information of contacts exposed to COVID-19.
"
Bilingual Case Investigator (Part-time),Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Care Coordination Associate - Health Department,"City of Baltimore, MD","Baltimore, MD",Not remote,"$39,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Case Investigator Supervisor,Seer Solutions Inc.,"Anchorage, AK",Temporarily remote,$30 - $35 an hour,"

MUST HAVE HIGH SPEED INTERNET, OWN PC with Windows 10 or higer & CELLPHONE .
Job Title: Tier III Case Investigator Supervisor .
"
Contact Tracer - Public Health,Sheboygan County,"Sheboygan, WI 53081",Not remote,Pay details not available,"

Be able to independently manage workload that includes reaching out to contacts over the phone, maintaining case logs, and timely data entry.
"
COVID-19 Public Health Manager,Cook Inlet Tribal Council Inc,"Anchorage, AK 99508 (Airport Heights area)",Not remote,Pay details not available,"

Will work collaboratively with the State of Alaska Public Health Department on contact tracing within the community as requested.
"
Health Worker 2,City & County of San Francisco,"San Francisco, CA (South of Market area)",Not remote,$28.41 - $34.51 an hour,"

May also be responsible for interviewing and providing support to close contacts within the households;
Assist with patient navigation, conduct patient research…
"
"COVID Testing, Symptom Management and Contact Tracing Manage...",Deaconess Abundant Life Communities,"Concord, MA",Not remote,Pay details not available,"

Serves as the main point of contact for results and scheduling of appointments.
Collaborates with Leadership teams when positive results are identified,…
"
Bilingual Spanish Case Investigator,Heluna Health,"San Francisco, CA",Not remote,$31.08 - $34.25 an hour,"

May also be responsible for interviewing and providing support to close contacts within the household.
Under the direction and guidance of the Shift Team Leader…
"
Case Investigation Nurse,WellSpan Health,"York, PA",Remote,Pay details not available,"

Conduct telephone calls with persons diagnosed with COVID-19 to complete case interviews and elicit information of contacts exposed to COVID-19.
"
Environmental Health/Outreach,Illinois Public Health Association,"Belleville, IL 62220",Not remote,$8 - $10 an hour,"

Provide assistance with COVID-19 team, contact tracing and telephone inquiries.
Provide Assistance with the Food Program, especially with updating contact…
"
Public Health Nurse- COVID-19 Contact Tracing Program (Remot...,AM LLC,Alaska,Remote,Pay details not available,"

Call, text, and/or email case or contacts on prescribed frequency (as much as 2x a day to in some cases every 3 days) to check/inquire about COVID-19 symptoms…
"
Nurse Supervisor - COVID-19 Contact Tracing Program (Remote...,AM LLC,Alaska,Remote,Pay details not available,"

Call, text, and/or email case or contacts on prescribed frequency (as much as 2x a day to in some cases every 3 days) to check/inquire about COVID-19 symptoms…
"
Nurse Investigator RN,Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Bilingual Case Investigator (Part-time),Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
"COVID Management Nurse Practitioner - Counseling, Health and...",Suffolk University,"Boston, MA 02108 (Beacon Hill area)",Remote,Pay details not available,"

The Full Time COVID Management Nurse Practitioner works closely with the CHW Director of Medical Operations and the other CHW Nurse Practitioners to manage…
"
Bilingual Bicultural Community Health Worker,City of Nashua,"Nashua, NH",Not remote,"$42,963 a year","

The CHW will support COVID-19 response efforts: participating in weekly testing clinics, setting up testing appointments, contact tracing follow-up,…
"
Wellness Center Community Health Worker,Native American Rehabilitation Association (NARA),"Portland, OR 97233 (Hazelwood area)",Not remote,Pay details not available,"

Community Health Workers (CHWs)* are frontline public health workers who are trusted members of and/or have an unusually close understanding of the community…
"
Limited-Term Position - Covid-19 Contact Tracer,Polk County (WI),"Balsam Lake, WI 54810",Not remote,Pay details not available,"

The LTE Contact Tracer performs tasks specific to contact tracing including: Responding to reports of contacts to index cases for COVID19.
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Bilingual Bicultural Community Health Worker,City of Nashua,"Nashua, NH",Not remote,"$42,963 a year","

The CHW will support COVID-19 response efforts: participating in weekly testing clinics, setting up testing appointments, contact tracing follow-up,…
"
"COVID Management Nurse Practitioner - Counseling, Health and...",Suffolk University,"Boston, MA 02108 (Beacon Hill area)",Remote,Pay details not available,"

The Full Time COVID Management Nurse Practitioner works closely with the CHW Director of Medical Operations and the other CHW Nurse Practitioners to manage…
"
"Health Scientist - Epidemiologist - Denver, CO",CENTER FOR TOXICOLOGY AND ENVIRONMENTAL HEALTH LLC,"Denver, CO",Not remote,Pay details not available,"

COVID-19 epidemiology experience including tracking pandemic indicators, contact tracing, protocol writing, survey writing, and COVID -19 testing;
"
Nurse Coordinator-COVID-19 Contact Tracing Program (Remote P...,AM Trace,"Anchorage, AK",Remote,Pay details not available,"

Call, text, and/or email case or contacts on prescribed frequency (as much as 2x a day to in some cases every 3 days) to check/inquire about COVID-19 symptoms…
"
MA- Medical Assistant- Employee Health- Columbine Health Sys...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

Our employees who work 24+ hours per week qualify for a full range of benefits including health insurance, vision, dental, a 401(k) plan, paid time off (PTO),…
"
